"","CountryName","Year","scale20","ln_S_GDPpercapitaUS","S_RealGDPgrowth","S_GGbalanceGDP","S_NetGGdebtGDP","S_CurrentaccountbalanceGDP","S_NarrownetextdebtCARs","ISO2"
"1","Argentina",2015,1,9.44099215761033,-0.085317835093671,-5.68936831506058,38.7319980805876,-3.29910304839578,141.968482440708,"AR"
"2","Argentina",2016,5,9.55712812027022,0.124757925759733,-6.1430074308595,50.4529907787994,-4.47393846565821,180.923694188437,"AR"
"3","Argentina",2017,7,9.39869661295812,-0.144669584020269,-8.47519517380508,53.6749362362657,-4.51725747070421,180.989714160845,"AR"
"4","Argentina",2018,6,9.52296452894574,0.134017874162606,-7.93346132747905,58.0077077045687,-6.7967621725158,220.772940972895,"AR"
"5","Argentina",2019,1,9.30981646247329,-0.189874867208307,-7.44308113014639,84.4857303452348,-7.17768582026236,210.059523661358,"AR"
"6","Australia",2015,20,10.9954839351869,-0.0821233205057249,-4.27201394682388,18.8778221008251,-4.59739977578834,287.039446789916,"AU"
"7","Australia",2016,20,10.8958115825563,-0.0926778071313482,-3.52868589975703,20.5122876227821,-5.24591708981098,289.596272930233,"AU"
"8","Australia",2017,20,10.7666835648069,-0.118861208396118,-3.77934465372447,23.0069370272452,-6.29829108410291,342.676409155681,"AU"
"9","Australia",2018,20,10.8432139678692,0.081676221028928,-3.58916711920827,23.64539495412,-3.88965645621414,296.021308048948,"AU"
"10","Australia",2019,20,10.9008469599182,0.0614005753928164,-2.6372160076331,25.382420395355,-4.5591340711219,283.003740281096,"AU"
"11","Austria",2015,19,10.8193128160834,0.0220166880147299,-3.7078098606376,83.3695910465511,1.27623785388886,125.335872955256,"AT"
"12","Austria",2016,19,10.6616881603145,-0.14442170966305,-2.02978425103316,84.0276679046946,0.492441797290558,136.745206391096,"AT"
"13","Austria",2017,19,10.6818087327104,0.0216211387365854,-2.60299832518137,80.9124654696731,1.44751765780412,128.154799487133,"AT"
"14","Austria",2018,19,10.7283657054696,0.0488855159023245,-1.84552671040231,77.5334640010462,0.223454108984109,140.438576410928,"AT"
"15","Austria",2019,19,10.8068497062005,0.0826502934481095,-0.942753897049431,74.7955649706882,0.964991610107993,119.48181145781,"AT"
"16","Belgium",2015,18,10.7487796690476,0.0213539872126342,-3.75453366202132,102.214885747242,-0.122625113830228,78.6314129891571,"BE"
"17","Belgium",2016,18,10.5953542347436,-0.140746154025061,-3.14469546461098,100.891526695107,0.443951557412647,89.0925037409885,"BE"
"18","Belgium",2017,18,10.6185676769876,0.0249620666049687,-3.13634547724561,100.63665228553,-0.430786867490366,97.9621618112397,"BE"
"19","Belgium",2018,18,10.6693778978451,0.0533667417828849,-1.52296519259118,97.6449042209982,0.210103773207406,99.5177931330827,"BE"
"20","Belgium",2019,18,10.7377490996406,0.0716851506726784,-1.58184969936263,96.301450120542,-2.05060711865473,94.6784231327638,"BE"
"21","Brazil",2015,10,9.32967163760496,-0.0151292802942381,-7.91220412425221,55.5155207787017,-6.46680151873978,66.7036025620757,"BR"
"22","Brazil",2016,9,9.00863793432555,-0.271294110469274,-12.2637756131685,61.2139616148605,-5.47311755337998,46.8549915499535,"BR"
"23","Brazil",2017,9,8.99528117929188,-0.0101533309477238,-11.1893767666369,64.3525938494428,-3.91445291012586,37.6850859934471,"BR"
