"","country","ISO2","actual","est","est_lower","est_upper","cd_actual","pd_actual","cd_est","pd_est","cd_est_95","pd_est_95","rating_delta","cd_delta","pd_delta","rating_delta_95","cd_delta_95","pd_delta_95"
"2","Australia","AU",20,17.2850083333333,16.3651246861964,18.2048919804703,0.528295218534761,0,0.766841466765858,2.74587822829582,0.821111040485216,2.99296970394599,-2.71499166666667,0.238546248231097,2.74587822829582,-3.6348753138036,0.292815821950455,2.99296970394599
"3","Austria","AT",19,17.1934833333333,16.3869245675822,18.0000420990844,0.640457129391164,1.00324021516269,0.772340303489892,2.786714812696,0.819813232819021,2.99070471091605,-1.80651666666667,0.131883174098728,1.78347459753331,-2.61307543241777,0.179356103427857,1.98746449575336
"4","Belgium","BE",18,16.8845216666667,15.9235614081682,17.8454819251651,0.720901920982245,2.2670672729256,0.790588955017092,2.89557652589372,0.848179134619456,3.01201403272117,-1.11547833333333,0.0696870340348473,0.628509252968115,-2.07643859183177,0.127277213637211,0.744946759795567
"5","Brazil","BR",8.8,7.26136833333333,6.45481897376951,8.06791769289715,2.45676393977302,11.944320897897,3.3807938882389,20.6637185997538,3.98932788453489,26.8854906772513,-1.53863166666667,0.924029948465878,8.71939770185678,-2.34518102623049,1.53256394476187,14.9411697793543
"6","Bulgaria","BG",10.8,11.3517566666667,10.5441101730092,12.1594031603242,1.64753048899489,5.6077084980296,1.48862867597017,4.63270481744215,1.72981843718707,6.1595395964254,0.551756666666666,-0.15890181302472,-0.975003680587456,-0.255889826990829,0.0822879481921772,0.551831098395795
"7","Canada","CA",20,15.7680916666667,14.9636384674576,16.5725448658758,0.528295218534761,0,0.858199404399293,3.00875058682217,0.916680971831803,2.95046842465149,-4.23190833333333,0.329904185864532,3.00875058682217,-5.03636153254243,0.388385753297042,2.95046842465149
"8","Chile","CL",16.4,14.8847633333333,13.7363393376369,16.0331873290297,0.819036042193129,2.98927803787558,0.923184518526438,2.94379692185859,1.04021185255764,2.93721095056335,-1.51523666666666,0.104148476333309,-0.0454811160169868,-2.66366066236306,0.221175810364508,-0.0520670873122242
"9","China","CN",16.4,10.061775,9.22415419000392,10.8993958099961,0.819036042193129,2.98927803787558,1.90081726457349,7.38902342786325,2.25123482478441,10.1788569555877,-6.338225,1.08178122238036,4.39974538998767,-7.17584580999608,1.43219878259128,7.18957891771208
"10","Croatia","HR",9.6,7.77859333333333,6.94624126094541,8.61094540572126,2.08522074183164,8.81797674987291,3.03714824650614,17.2983116667919,3.60771083039331,22.9484343125461,-1.82140666666667,0.951927504674499,8.48033491691897,-2.65375873905459,1.52249008856167,14.1304575626732
"11","Czech Republic","CZ",17,15.2070716666667,14.3453356582204,16.068807675113,0.783809906904573,2.85987858509344,0.897579636201164,2.97167047285964,0.972467680566653,2.91180221444419,-1.79292833333333,0.113769729296591,0.111791887766202,-2.65466434177963,0.188657773662081,0.0519236293507532
"12","Denmark","DK",20,19.0061533333333,18.1723049318191,19.8400017348476,0.528295218534761,0,0.639878484457967,0.992909553676384,0.708686533639905,2.1035693881897,-0.993846666666666,0.111583265923207,0.992909553676384,-1.82769506818091,0.180391315105144,2.1035693881897
"13","Egypt","EG",5.4,5.35732166666667,4.55136146303731,6.16328187029602,4.92983395861495,36.992483158093,4.97154884306342,37.4518364440863,5.81586127980679,46.9127445776184,-0.0426783333333338,0.0417148844484698,0.459353285993309,-0.848638536962689,0.886027321191839,9.92026141952542
"14","Estonia","EE",17,15.068985,14.2617332688279,15.8762367311721,0.783809906904573,2.85987858509344,0.908241178602952,2.95963312436214,0.980942607512417,2.91037563981641,-1.931015,0.124431271698379,0.0997545392687016,-2.73826673117209,0.197132700607844,0.0504970547229675
"15","Finland","FI",19,18.1351833333333,17.2375652084926,19.032801458174,0.640457129391164,1.00324021516269,0.711365881162779,2.14053646214879,0.769698906476375,2.76756472307642,-0.864816666666666,0.0709087517716145,1.1372962469861,-1.76243479150735,0.129241777085211,1.76432450791373
"16","France","FR",18,16.3039283333333,15.2879095023246,17.3199471643421,0.720901920982245,2.2670672729256,0.824769041563714,2.99858769560259,0.891535888080222,2.97850988476534,-1.69607166666666,0.103867120581469,0.731520422676994,-2.71209049767541,0.170633967097977,0.711442611839743
"17","Germany","DE",20,18.7826866666667,17.97672717852,19.5886461548133,0.528295218534761,0,0.660146869207059,1.34659044236858,0.722510310742397,2.28759739841584,-1.21731333333333,0.131851650672299,1.34659044236858,-2.02327282148,0.194215092207636,2.28759739841584
"18","Greece","GR",5.8,7.01092666666667,5.93897008826162,8.08288324507171,4.55298049557823,32.8822847969495,3.56001906889327,22.4645084317624,4.42792045148747,31.535136605201,1.21092666666667,-0.992961426684958,-10.4177763651871,0.138970088261625,-0.125060044090763,-1.34714819174851
"19","Hong Kong","HK",19.4,18.0738966666667,17.2676955389332,18.8800977944001,0.600192516921849,0.258240247631818,0.715731085628649,2.19945624274567,0.767886044301112,2.75392276771672,-1.32610333333333,0.115538568706799,1.94121599511385,-2.13230446106677,0.167693527379263,2.4956825200849
"20","Hungary","HU",11,11.2802716666667,10.4420879188114,12.1184554145219,1.58708246480164,5.22159971540106,1.50784797174264,4.74344110449984,1.7642231652843,6.39843403839519,0.280271666666666,-0.0792344930590017,-0.478158610901218,-0.557912081188563,0.177140700482662,1.17683432299413
"21","India","IN",11,5.687885,4.88270094213218,6.49306905786782,1.58708246480164,5.22159971540106,4.65605986602028,33.9991760894819,5.4555611178735,42.8393597804133,-5.312115,3.06897740121864,28.7775763740808,-6.11729905786782,3.86847865307186,37.6177600650122
"22","Indonesia","ID",10.8,7.109285,6.30314071499142,7.91542928500858,1.64753048899489,5.6077084980296,3.48860826388319,21.7435584875734,4.11416565850516,28.1963424038241,-3.690715,1.8410777748883,16.1358499895438,-4.49685928500858,2.46663516951027,22.5886339057945
"23","Ireland","IE",16.2,16.6920533333333,15.8842535660362,17.4998531006304,0.83103896629781,3.00575050497685,0.801847472284564,2.9429767718575,0.850683299232924,3.01159504031915,0.492053333333335,-0.0291914940132462,-0.062773733119343,-0.315746433963769,0.0196443329351135,0.00584453534230533
"24","Italy","IT",11.6,11.3947016666667,10.5308858440888,12.2585174892446,1.42489871566851,4.28174585806536,1.47727146290709,4.56829788595549,1.73422594662649,6.18988622666194,-0.205298333333333,0.05237274723858,0.286552027890124,-1.06911415591125,0.309327230957975,1.90814036859658
