"","country","ISO2","actual","est","est_lower","est_upper","cd_actual","pd_actual","cd_est","pd_est","cd_est_95","pd_est_95","rating_delta","cd_delta","pd_delta","rating_delta_95","cd_delta_95","pd_delta_95"
"2","Australia","AU",20,17.2426183333333,16.3209123633209,18.1643243033458,0.528295218534761,0,0.769395309981397,2.76530840710208,0.823751517244034,2.99713605625641,-2.75738166666667,0.241100091446636,2.76530840710208,-3.67908763667909,0.295456298709273,2.99713605625641
"3","Austria","AT",19,18.1403666666667,17.4395307076125,18.8412026257209,0.640457129391164,1.00324021516269,0.710993387457046,2.13543309311177,0.75741144167617,2.66721569487484,-0.859633333333335,0.0705362580658814,1.13219287794908,-1.56046929238752,0.116954312285006,1.66397547971215
"4","Belgium","BE",18,17.1930066666667,16.409298887297,17.9767144460363,0.720901920982245,2.2670672729256,0.77236879850497,2.78691669751947,0.81848386341055,2.98823198341111,-0.806993333333335,0.0514668775227253,0.519849424593872,-1.59070111270295,0.0975819424283056,0.72116471048551
"5","Brazil","BR",8.8,7.55691,6.85609032280546,8.25772967719454,2.45676393977302,11.944320897897,3.18014721297562,18.6837438003298,3.67515044276001,23.6359701771046,-1.24309,0.723383273202606,6.73942290243277,-1.94390967719454,1.218386502987,11.6916492792076
"6","Bulgaria","BG",10.8,11.3121233333333,10.6111252954164,12.0131213712503,1.64753048899489,5.6077084980296,1.49923563684637,4.69355197793334,1.70771953127156,6.00855731663642,0.512123333333333,-0.14829485214852,-0.914156520096263,-0.188874704583649,0.0601890422766695,0.400848818606818
"7","Canada","CA",20,16.9440183333333,16.2353854626184,17.6526512040483,0.528295218534761,0,0.787100498634823,2.87789630777186,0.82889529745736,3.00363573929397,-3.05598166666667,0.258805280100062,2.87789630777186,-3.7646145373816,0.3006000789226,3.00363573929397
"8","Chile","CL",16.4,15.05417,13.9189769451131,16.1893630548869,0.819036042193129,2.98927803787558,0.909411583147805,2.95833543793191,1.01836990906759,2.9198537328935,-1.34583,0.0903755409546765,-0.0309425999436712,-2.48102305488687,0.199333866874457,-0.0694243049820784
"9","China","CN",16.4,10.9662583333333,10.1142782951546,11.8182383715121,0.819036042193129,2.98927803787558,1.59704821831873,5.28404970992519,1.88115987842292,7.24259840244911,-5.43374166666667,0.778012176125602,2.29477167204961,-6.28572170484539,1.0621238362298,4.25332036457353
"10","Croatia","HR",9.6,9.283115,8.5391208083585,10.0271091916415,2.08522074183164,8.81797674987291,2.22421184750826,9.95306944816403,2.59319739676548,13.1584175364304,-0.316884999999999,0.13899110567662,1.13509269829112,-1.0608791916415,0.507976654933838,4.34044078655744
"11","Czech Republic","CZ",17,15.4711766666667,14.6553260831569,16.2870272501764,0.783809906904573,2.85987858509344,0.878328730084085,2.99270104557752,0.943069812196273,2.92643993244052,-1.52882333333333,0.0945188231795124,0.132822460484078,-2.34467391684307,0.1592599052917,0.0665613473470756
