"Model","Scenario","Region","X2045","X2046","X2047","X2048","X2049","X2050"
"GCAM 6.0 NGFS","Delayed transition",NA,-0.07586613563,-0.08137740585,-0.08790615883,-0.0950458671,-0.1021278614,-0.1089371168
"GCAM 6.0 NGFS","Delayed transition","ARG",-0.02318275853,-0.02371899274,-0.02390002145,-0.0242467179,-0.02455455576,-0.02467637476
"GCAM 6.0 NGFS","Delayed transition",NA,-0.03879453983,-0.03905118327,-0.03936984021,-0.0397656294,-0.03987766445,-0.03952759344
"GCAM 6.0 NGFS","Delayed transition","AUS",-0.03403581107,-0.03536962222,-0.03656614885,-0.03777481188,-0.03881099539,-0.03958316505
"GCAM 6.0 NGFS","Delayed transition","AUT",-0.03139608868,-0.03264739212,-0.03335456688,-0.0337332248,-0.03374402981,-0.03325469144
"GCAM 6.0 NGFS","Delayed transition","BEL",-0.01372167558,-0.01385857536,-0.01371617115,-0.01358469945,-0.01339737635,-0.01292848534
"GCAM 6.0 NGFS","Delayed transition","BRA",-0.04138033477,-0.04251129107,-0.04379115716,-0.04504189899,-0.04589859866,-0.04646472065
"GCAM 6.0 NGFS","Delayed transition","BGR",-0.02142693333,-0.02116014403,-0.02035927881,-0.01972325876,-0.01889841835,-0.01770267464
"GCAM 6.0 NGFS","Delayed transition","CAN",-0.04359039924,-0.04504938498,-0.04649377377,-0.04798028988,-0.04939381398,-0.05054604506
"GCAM 6.0 NGFS","Delayed transition","CHL",0.00146790513,0.0021837889,0.00327216454,0.00437740214,0.00557426948,0.00701780274
"GCAM 6.0 NGFS","Delayed transition","CHN",-0.0374522833,-0.03758239951,-0.03736919342,-0.0373782053,-0.03769237524,-0.03845272474
"GCAM 6.0 NGFS","Delayed transition","HRV",-0.05008768135,-0.05147143626,-0.05233771987,-0.05311244882,-0.05354223892,-0.05330865387
"GCAM 6.0 NGFS","Delayed transition","CZE",-0.01147517332,-0.01090073491,-0.01019045295,-0.00961393113,-0.00912327452,-0.00852671804
"GCAM 6.0 NGFS","Delayed transition","DNK",-0.0163598667,-0.01672839476,-0.0168184011,-0.01693907033,-0.01714355888,-0.01719862514
"GCAM 6.0 NGFS","Delayed transition",NA,-0.02493066011,-0.02354543049,-0.02197919532,-0.02052078721,-0.01907305264,-0.01747180785
"GCAM 6.0 NGFS","Delayed transition","EGY",-0.04822332215,-0.04952751301,-0.05111326596,-0.05290225755,-0.05440373234,-0.05555579951
"GCAM 6.0 NGFS","Delayed transition","EST",-0.02085906045,-0.02095158182,-0.02092374257,-0.02090336163,-0.02078342137,-0.02040091887
"GCAM 6.0 NGFS","Delayed transition","FIN",-0.01723391743,-0.0174299267,-0.0175382544,-0.01781266235,-0.01818487612,-0.01833758984
"GCAM 6.0 NGFS","Delayed transition","FRA",-0.01971037328,-0.0201288433,-0.02052871736,-0.0210147649,-0.02146933217,-0.02171894164
"GCAM 6.0 NGFS","Delayed transition","DEU",-0.01989633246,-0.02075861535,-0.02154979051,-0.0223335057,-0.02304704799,-0.02354017518
"GCAM 6.0 NGFS","Delayed transition","GRC",-0.04410670941,-0.04687774409,-0.049399211,-0.05174098153,-0.05355808316,-0.05450468862
"GCAM 6.0 NGFS","Delayed transition","HKG",-0.03328664804,-0.03454498918,-0.03590760231,-0.03761813834,-0.03940433698,-0.04076124015
"GCAM 6.0 NGFS","Delayed transition","HUN",-0.00872175503,-0.00758890801,-0.00612566254,-0.00489631066,-0.00373187313,-0.00230350214
"GCAM 6.0 NGFS","Delayed transition","IND",-0.04575068308,-0.04695759308,-0.04853354938,-0.05030824379,-0.05184406139,-0.05311004881
"GCAM 6.0 NGFS","Delayed transition","IDN",-0.02845684504,-0.02776104769,-0.0268875804,-0.02601779347,-0.02493245311,-0.02344904894
"GCAM 6.0 NGFS","Delayed transition","IRL",-0.01934521719,-0.02008327842,-0.02069968336,-0.02109081772,-0.0212571336,-0.02131542484
"GCAM 6.0 NGFS","Delayed transition","ITA",-0.03008604935,-0.0299773565,-0.0293165499,-0.02850423711,-0.02754537333,-0.02631516153
"GCAM 6.0 NGFS","Delayed transition","JPN",-0.036967375,-0.0375902346,-0.0377822546,-0.03764454499,-0.03698683803,-0.03567834842
"GCAM 6.0 NGFS","Delayed transition",NA,-0.03589992865,-0.03696767853,-0.03822963739,-0.0396188353,-0.04088974097,-0.04196536212
"GCAM 6.0 NGFS","Delayed transition","LVA",-0.01811073306,-0.01776880192,-0.01701320182,-0.01626357162,-0.01556632961,-0.01479706494
"GCAM 6.0 NGFS","Delayed transition","LTU",-0.01842680881,-0.01843197774,-0.01794751392,-0.01753051008,-0.01702321068,-0.01620189336
"GCAM 6.0 NGFS","Delayed transition","MYS",-0.04319724495,-0.04347601802,-0.04387077871,-0.04411112001,-0.04406902019,-0.04376682907
"GCAM 6.0 NGFS","Delayed transition","MEX",-0.03785581048,-0.03832838968,-0.03871136114,-0.03895983896,-0.03888953498,-0.03845535406
"GCAM 6.0 NGFS","Delayed transition",NA,-0.07412166997,-0.07757338746,-0.08179214651,-0.08638628781,-0.09079365507,-0.09492737957
"GCAM 6.0 NGFS","Delayed transition","NLD",-0.0098639653,-0.00936509106,-0.00873810308,-0.00834197945,-0.008048472,-0.00751337193
"GCAM 6.0 NGFS","Delayed transition","NZL",-0.01973789703,-0.02056196194,-0.02119159797,-0.02169562072,-0.02203875487,-0.02210075491
"GCAM 6.0 NGFS","Delayed transition","NOR",-0.02317754885,-0.02402285886,-0.02477714113,-0.02513259931,-0.02535885434,-0.02540468639
"GCAM 6.0 NGFS","Delayed transition","POL",-0.01449350376,-0.01389340586,-0.01307394371,-0.01238546134,-0.01178354138,-0.01106978416
"GCAM 6.0 NGFS","Delayed transition","PRT",-0.0320027703,-0.03305887257,-0.03389153812,-0.03490672455,-0.03578060483,-0.03608476107
"GCAM 6.0 NGFS","Delayed transition","ROU",-0.03107436306,-0.03307212525,-0.03487345614,-0.03681067041,-0.03867677746,-0.04024359706
"GCAM 6.0 NGFS","Delayed transition","RUS",-0.06049567926,-0.06473880263,-0.07000460735,-0.07573942056,-0.08161901427,-0.08734912663
"GCAM 6.0 NGFS","Delayed transition","SGP",-0.02467626875,-0.02479531098,-0.02514680468,-0.02692325315,-0.02915397828,-0.03098277433
"GCAM 6.0 NGFS","Delayed transition","SVK",-0.01610031936,-0.01639862961,-0.01595190072,-0.01542916769,-0.0146832779,-0.01346560193
"GCAM 6.0 NGFS","Delayed transition","SVN",-0.01452139892,-0.01397307297,-0.01278680197,-0.01159389227,-0.01049424634,-0.00934913488
"GCAM 6.0 NGFS","Delayed transition","ZAF",-0.0357192258,-0.03765124172,-0.03974501252,-0.04171037732,-0.04313129172,-0.04378977678
"GCAM 6.0 NGFS","Delayed transition","KOR",-0.01842678231,-0.01754252497,-0.01623654223,-0.01484416385,-0.0133864865,-0.01182675835
