"Model","Scenario","Region","Variable","Unit","X1990","X1995","X2000","X2005","X2007","X2008","X2010","X2011","X2012","X2013","X2014","X2015","X2018","X2020","X2021","X2022","X2023","X2024","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065","X2070","X2075","X2080","X2085","X2090","X2095","X2100","X2110","X2130","X2150","Category","Policy_category"
"AIM/CGE 2.2","EN_INDCi2030_1000f","BRA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,3631.6977,NA,NA,NA,NA,3841.5749,NA,4681.5666,NA,NA,NA,NA,5467.3702,6161.75,6959.4368,7606.58,8395.2852,9186.4514,9937.5208,10680.3282,11421.8293,12154.0907,12937.4007,13726.1821,14503.6781,15272.993,16051.117,16840.6148,NA,NA,NA,"C3","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1000f","CHN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14563.1105,NA,NA,NA,NA,21267.6935,NA,31208.4773,NA,NA,NA,NA,41149.8827,50530.2826,56625.3198,61078.5606,68581.9229,74684.8879,78351.8123,81242.4893,83754.1554,85494.0822,86786.0865,87765.1113,88234.4525,88638.2047,88796.5171,88859.7966,NA,NA,NA,"C3","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1000f","EU","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,15241.213,NA,NA,NA,NA,16498.9188,NA,18299.7487,NA,NA,NA,NA,20009.1055,21751.0323,23751.627,25611.7596,27779.4391,30009.4087,32207.6108,34549.8194,37084.5255,39700.2436,42305.8428,44993.5744,47673.0836,50382.5827,53131.7484,55902.0262,NA,NA,NA,"C3","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1000f","IND","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4980.3626,NA,NA,NA,NA,6837.0405,NA,9526.5034,NA,NA,NA,NA,12880.5197,16745.7338,20294.9212,23977.1145,29305.7103,35312.9665,41251.7695,47213.8533,53625.4202,60483.1868,67777.3687,75494.186,83185.057,91243.2391,99295.1881,107104,NA,NA,NA,"C3","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1000f","JPN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4545.5679,NA,NA,NA,NA,4781.2649,NA,5012.2513,NA,NA,NA,NA,5259.0855,5485.3417,5683.8421,5778.3756,5947.0356,6117.5034,6277.7571,6448.8672,6623.5656,6799.4065,6977.2182,7146.8086,7316.3901,7489.5092,7663.7519,7836.5384,NA,NA,NA,"C3","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1000f","RUS","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4480.2396,NA,NA,NA,NA,4933.9156,NA,6011.3737,NA,NA,NA,NA,7213.0968,8461.2845,9121.1123,9462.6615,10521.6454,11491.924,12080.4533,12679.1983,13595.5176,14622.8052,15629.9845,16666.2199,17662.1517,18686.6308,19733.648,20752.9532,NA,NA,NA,"C3","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1000f","USA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14188.0371,NA,NA,NA,NA,15815.7262,NA,18261.6556,NA,NA,NA,NA,20377.5157,22273.2684,24184.5328,25660.2705,27350.8438,28931.8864,30391.7494,31901.3467,33531.5518,35116.2639,36654.0783,38227.5986,39720.0684,41146.9374,42521.3781,43842.3326,NA,NA,NA,"C3","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200","BRA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,3631.6977,NA,NA,NA,NA,3841.5749,NA,4681.5666,NA,NA,NA,NA,5467.3702,6161.75,6959.4368,7612.4438,8408.7606,9193.6679,9948.7985,10683.8513,11428.4921,12180.391,12973.8948,13754.1626,14529.053,15296.073,16073.5439,16863.5633,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200","CHN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14563.1105,NA,NA,NA,NA,21267.6935,NA,31208.4773,NA,NA,NA,NA,41149.8827,50530.2826,56625.3198,61214.9074,68853.7864,74804.0295,78490.4358,81188.3937,83740.2225,85509.5563,86686.0451,87649.8807,88096.7768,88486.4673,88637.8884,88677.0625,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200","EU","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,15241.213,NA,NA,NA,NA,16498.9188,NA,18299.7487,NA,NA,NA,NA,20009.1055,21751.0323,23751.627,25624.3199,27808.4192,30023.8777,32233.0766,34552.4963,37099.3617,39738.6652,42388.0478,45054.3031,47721.0825,50422.8288,53167.3144,55924.1612,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200","IND","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4980.3626,NA,NA,NA,NA,6837.0405,NA,9526.5034,NA,NA,NA,NA,12880.5197,16745.7338,20294.9212,24032.6697,29438.8925,35392.3872,41401.4786,47269.9054,53757.3077,60806.9625,68363.1407,76087.783,83787.3013,91848.9537,99906.1508,107651,NA,NA,NA,"C4","P3b"
