Model,Scenario,Category,Policy_category
AIM/CGE 2.0,SSP1-26,C3,P2a
AIM/CGE 2.0,SSP1-34,C5,P2a
AIM/CGE 2.0,SSP1-45,C6,P2a
AIM/CGE 2.0,SSP1-Baseline,C7,P1a
AIM/CGE 2.0,SSP4-26,C3,P2a
AIM/CGE 2.0,SSP4-34,C5,P2a
AIM/CGE 2.0,SSP4-45,C6,P2a
AIM/CGE 2.0,SSP4-Baseline,C7,P1a
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,C5,P3b
AIM/CGE 2.1,CD-LINKS_INDCi,C7,P1c
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,C4,P3b
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,C3,P2a
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,C5,P2a
AIM/CGE 2.1,CD-LINKS_NPi2020_400,C1,P2a
AIM/CGE 2.1,CO_Bridge,C3,P3c
AIM/CGE 2.1,CO_CurPol,C7,P1b
AIM/CGE 2.2,EN_INDCi2030_1000f,C3,P3b
AIM/CGE 2.2,EN_INDCi2030_1200,C4,P3b
AIM/CGE 2.2,EN_INDCi2030_1200f,C4,P3b
AIM/CGE 2.2,EN_INDCi2030_1400,C4,P3b
AIM/CGE 2.2,EN_INDCi2030_1400f,C4,P3b
AIM/CGE 2.2,EN_INDCi2030_1600,C5,P3b
AIM/CGE 2.2,EN_INDCi2030_1600f,C5,P3b
AIM/CGE 2.2,EN_INDCi2030_1800,C5,P3b
AIM/CGE 2.2,EN_INDCi2030_1800f,C5,P3b
AIM/CGE 2.2,EN_INDCi2030_800f,C3,P3b
AIM/CGE 2.2,EN_INDCi2030_900f,C3,P3b
AIM/CGE 2.2,EN_INDCi2100,C6,P1c
AIM/CGE 2.2,EN_NPi2020_1000,C3,P2a
AIM/CGE 2.2,EN_NPi2020_1000f,C3,P2a
AIM/CGE 2.2,EN_NPi2020_1200,C3,P2a
AIM/CGE 2.2,EN_NPi2020_1200f,C4,P2a
AIM/CGE 2.2,EN_NPi2020_1400,C4,P2a
