"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.07057878843,-0.07457532531,-0.07906831581,-0.08366143942,-0.08799270058,-0.09203492123
"ARG",-0.01825220139,-0.01896516131,-0.01945943214,-0.0199228192,-0.02011916399,-0.02000185709
NA,-0.02885932824,-0.02949669567,-0.03026590292,-0.03097200626,-0.031442718,-0.03154220498
"AUS",-0.02970881594,-0.03060976623,-0.0314477195,-0.03223376589,-0.03289881171,-0.03325969783
"AUT",-0.02833201937,-0.02900835742,-0.02944307704,-0.02977603198,-0.03002867264,-0.03009369449
"BEL",-0.00479612486,-0.00451388355,-0.00405884041,-0.00351303128,-0.00297480858,-0.00229900489
"BRA",-0.03580829345,-0.03747242122,-0.03937804654,-0.04100294973,-0.04208666057,-0.0428256935
"BGR",-0.01513373207,-0.01500222642,-0.01446877607,-0.01407494414,-0.01374067056,-0.01329282708
"CAN",-0.01373159706,-0.01433485476,-0.01506365589,-0.01580623785,-0.01660200108,-0.01735020694
"CHL",0.00483127548,0.00520586541,0.00580078966,0.006497831,0.00732553884,0.00831581802
"CHN",-0.03206478076,-0.03245305886,-0.03287682131,-0.03334726067,-0.03386352931,-0.03448160292
"HRV",-0.03335111964,-0.03403149834,-0.03453491394,-0.03516712841,-0.03581407249,-0.03624023729
"CZE",-0.00428461273,-0.00401639582,-0.00366935745,-0.00336924392,-0.00315742587,-0.00291696433
"DNK",-0.01295696175,-0.01335115649,-0.01367919351,-0.01398137779,-0.01436776733,-0.01468561436
NA,-0.01162116554,-0.01077265861,-0.00995975226,-0.00927775926,-0.00869489201,-0.00806337135
"EGY",-0.04028970085,-0.04151506757,-0.04295598346,-0.04439188458,-0.04554849908,-0.0464114741
"EST",-0.01612084638,-0.01594290808,-0.01555023748,-0.01532658466,-0.01539622354,-0.01564248176
"FIN",-0.01140289914,-0.01141511882,-0.01136583592,-0.01131691727,-0.01135355646,-0.01127056276
"FRA",-0.01454973111,-0.01481343123,-0.01509231931,-0.01540732887,-0.01575605348,-0.01600777003
"DEU",-0.0144214924,-0.01498845977,-0.01547703392,-0.01590015626,-0.01630336337,-0.01657250746
"GRC",-0.02917491696,-0.02925419992,-0.02908544705,-0.02865250846,-0.0278902684,-0.02662727988
"HKG",-0.03108194452,-0.03264714158,-0.03425520358,-0.03591006987,-0.03763958472,-0.03897110861
"HUN",0.00113705637,0.00145431601,0.00201531288,0.00252699459,0.00295334369,0.00352243542
"IND",-0.04048133032,-0.04166458838,-0.04309643153,-0.04437661591,-0.04521001733,-0.04559865434
"IDN",-0.02050871019,-0.02047058225,-0.02042695934,-0.02025250552,-0.01980033259,-0.01895078617
"IRL",-0.01635034831,-0.01643684622,-0.01651746329,-0.01648328846,-0.01631644424,-0.01605388105
"ITA",-0.0162885247,-0.01574339243,-0.01499088901,-0.01414108152,-0.01321735001,-0.01217317282
"JPN",-0.0217443419,-0.02192110917,-0.02199117,-0.02212789309,-0.02215668352,-0.02178430525
NA,-0.02759707183,-0.02869652617,-0.02992558627,-0.03110022951,-0.03212534095,-0.03298931522
"LVA",-0.0123415095,-0.01234463639,-0.01225131892,-0.0120956561,-0.01198404134,-0.01183484858
"LTU",-0.01605024194,-0.01613605951,-0.01577400132,-0.01544237637,-0.01522685597,-0.01494705134
"MYS",-0.03359042319,-0.03415878001,-0.03499537314,-0.03567768669,-0.03610422451,-0.036244466
"MEX",-0.02924657561,-0.0295431891,-0.02982751129,-0.02993812147,-0.0298195247,-0.02943375886
NA,-0.06022689643,-0.06293592395,-0.06613019504,-0.06937588681,-0.07238139799,-0.07516977685
"NLD",-0.0054891349,-0.00545361292,-0.00526553164,-0.0050527733,-0.00492748472,-0.00471307342
"NZL",-0.00592026311,-0.00577888509,-0.00553958041,-0.00522544754,-0.004796899,-0.00419222796
"NOR",-0.01780969663,-0.01845199299,-0.01903391471,-0.0193693664,-0.01967556029,-0.019883049
"POL",-0.00460440219,-0.00433029217,-0.00395201317,-0.00355203919,-0.00321251844,-0.00283875512
"PRT",-0.01877480156,-0.01880339216,-0.01875340284,-0.01881979755,-0.01890424345,-0.01867320108
"ROU",-0.02951575837,-0.03122535448,-0.03285202293,-0.03456303558,-0.03624685877,-0.03778532668
"RUS",-0.05071947122,-0.05363985301,-0.05711817749,-0.06081561838,-0.06459196781,-0.06826111905
"SGP",-0.02645646914,-0.02814411193,-0.02970395717,-0.0317499659,-0.03400559832,-0.0359173216
"SVK",-0.01336724502,-0.01341661656,-0.01311789693,-0.01289431029,-0.01279494787,-0.01264906294
"SVN",-0.00947024215,-0.00923830882,-0.00876998908,-0.0083234986,-0.00793137052,-0.00749908958
"ZAF",-0.01538163596,-0.01611662752,-0.0166184658,-0.01687117797,-0.01694608378,-0.016800288
"KOR",-0.0087057139,-0.00853884594,-0.00828819411,-0.00800125916,-0.00766998712,-0.00726091411
"ESP",-0.02515654053,-0.02556408993,-0.02584565014,-0.02627682474,-0.02670675881,-0.02680900907
"SWE",-0.01697073488,-0.01739338723,-0.01778275939,-0.01806902561,-0.01832348036,-0.01846581064
"CHE",0.00304652524,0.0040197285,0.00505977831,0.00618282487,0.00733393708,0.00856409915
"TWN",-0.01250339182,-0.01243863953,-0.01230539181,-0.0121389293,-0.01190012355,-0.01134930381
"TUR",-0.0211632456,-0.02172453619,-0.02233319646,-0.02295242234,-0.02347958898,-0.0238160124
"GBR",-0.00772278632,-0.0074862357,-0.00718362892,-0.00684792566,-0.00655090887,-0.00624410058
"USA",-0.03299716064,-0.03318982296,-0.03315859045,-0.03296620651,-0.03269757711,-0.03219031708
"VNM",-0.04548117007,-0.04753117846,-0.04940207377,-0.05104495243,-0.05249632428,-0.05357892975
