"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.07044106761,-0.07408909935,-0.07805132569,-0.08225484891,-0.08649041782,-0.09055522467
"ARG",-0.04148522829,-0.04327450219,-0.04488108257,-0.04638004911,-0.04797374848,-0.04969661964
NA,-0.0627014625,-0.06497782819,-0.06719513211,-0.06943618119,-0.07166989961,-0.07376186169
"AUS",-0.04218846218,-0.04440309407,-0.04657568424,-0.04880198007,-0.05103167275,-0.05321536576
"AUT",-0.03150285382,-0.03283527596,-0.0339780886,-0.03498038678,-0.03579441516,-0.03638654768
"BEL",-0.01988257054,-0.02106036558,-0.02215825191,-0.02330219169,-0.02442238147,-0.02536320743
"BRA",-0.05400478882,-0.05626475769,-0.05840202055,-0.06060973504,-0.06284562358,-0.06485852729
"BGR",-0.0333281103,-0.03469639879,-0.03589476487,-0.03702147627,-0.03797015028,-0.03871282782
"CAN",-0.03671512307,-0.03830063185,-0.03980812825,-0.04132390224,-0.04284929172,-0.04430632859
"CHL",-0.01245385063,-0.01321380944,-0.01410818641,-0.01510913544,-0.01624858002,-0.01748887018
"CHN",-0.04715577985,-0.04955687552,-0.0516606254,-0.05356581377,-0.05534340367,-0.05697756874
"HRV",-0.03097604272,-0.03250356795,-0.03377346279,-0.03486054282,-0.03569717168,-0.03625734035
"CZE",-0.02332666679,-0.02409377646,-0.02483500187,-0.02557971934,-0.02624937729,-0.02680055919
"DNK",-0.02038104056,-0.02144826442,-0.02245855255,-0.02352318836,-0.0245702681,-0.02548099192
NA,-0.02563749201,-0.02662494261,-0.0276855577,-0.02876884837,-0.02972654779,-0.03049083375
"EGY",-0.06057412747,-0.0632830647,-0.06602422101,-0.0687130362,-0.0711627577,-0.073441389
"EST",-0.0278729611,-0.02915941936,-0.03024812574,-0.03131250533,-0.03236607949,-0.03338919522
"FIN",-0.0240753163,-0.02514363787,-0.02615821571,-0.02719851637,-0.02821522776,-0.02910783599
"FRA",-0.02593351605,-0.02733606647,-0.0286207419,-0.02990222249,-0.03114218681,-0.03221779033
"DEU",-0.02444403746,-0.02585994099,-0.02721586291,-0.02857134584,-0.02985896908,-0.03097772196
