"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.04688912854,-0.0489727264,-0.05117948863,-0.05344328495,-0.05566650667,-0.05771473442
"ARG",-0.02650580598,-0.02735044647,-0.02817011636,-0.02906548209,-0.02997607132,-0.03089363443
NA,-0.04106574112,-0.04278961005,-0.04461158236,-0.04625985147,-0.04771777114,-0.04914180751
"AUS",-0.02382721345,-0.02488085232,-0.02597071135,-0.02703482203,-0.02806520004,-0.02907827269
"AUT",-0.01984653872,-0.02048364993,-0.02112744665,-0.02175020369,-0.02228736896,-0.02271748023
"BEL",-0.01512697767,-0.01585277413,-0.01658205798,-0.01720561749,-0.01768688477,-0.01806022911
"BRA",-0.03499283518,-0.03652733406,-0.03802551129,-0.03945868878,-0.0407881348,-0.04208056845
"BGR",-0.01693804729,-0.01748841398,-0.01809750194,-0.01882548468,-0.01947958851,-0.02007115607
"CAN",-0.02237940568,-0.02319426627,-0.02397155303,-0.02470640579,-0.02539628291,-0.02601459262
"CHL",-0.01294882484,-0.0134403541,-0.01391696944,-0.01437258093,-0.01470839013,-0.01501353224
"CHN",-0.0265575606,-0.02772734683,-0.02893269296,-0.03012727227,-0.03135658685,-0.03253669075
"HRV",-0.02780993544,-0.02905869224,-0.0303434425,-0.03165746847,-0.03285605754,-0.03384844223
"CZE",-0.0140265395,-0.01450625631,-0.01501975172,-0.01552167312,-0.01593825728,-0.01624706634
"DNK",-0.01431442128,-0.01489366924,-0.01549296037,-0.0160272188,-0.01647051562,-0.01680013549
NA,-0.01908613764,-0.01960155883,-0.02006981089,-0.02051766998,-0.02087517489,-0.02111795889
"EGY",-0.0368343234,-0.03818043392,-0.03947498246,-0.04087015857,-0.04225860965,-0.04363536868
"EST",-0.01677494682,-0.01740285158,-0.01810420685,-0.01882879973,-0.01956685107,-0.02028297144
"FIN",-0.01568081661,-0.01621272297,-0.01676680511,-0.01728364483,-0.01774693287,-0.01810085149
"FRA",-0.01748318635,-0.01830411771,-0.01910370516,-0.01980433501,-0.02036882397,-0.02085327713
"DEU",-0.0166350089,-0.01731728535,-0.01801486779,-0.01862140942,-0.01909458312,-0.01946435015
"GRC",-0.03143436923,-0.03250596277,-0.0335938534,-0.03476302413,-0.03583020818,-0.03683876173
"HKG",-0.03710432253,-0.03883168835,-0.04070233808,-0.04248087739,-0.04409948864,-0.04556748137
"HUN",-0.01540217493,-0.01590817897,-0.01650177382,-0.01720439528,-0.01783527734,-0.01828404821
"IND",-0.04662267273,-0.04887703089,-0.05118209177,-0.05340190609,-0.05545965358,-0.05733891304
"IDN",-0.03983251487,-0.04129372522,-0.04269526548,-0.04400014178,-0.04525573472,-0.04640352577
"IRL",-0.01252277156,-0.01297053297,-0.01341123989,-0.01373623863,-0.01395752549,-0.0141194999
"ITA",-0.02333890013,-0.02420984146,-0.02507610916,-0.02589480706,-0.02659798948,-0.02722578881
"JPN",-0.028860223,-0.02984310719,-0.03090004025,-0.03191387861,-0.0328507665,-0.03363426981
NA,-0.02716430407,-0.02826959721,-0.02937699101,-0.03046204228,-0.03152765679,-0.0325541279
"LVA",-0.01556492066,-0.0160406095,-0.01652119157,-0.01695307112,-0.01733455164,-0.01761855239
"LTU",-0.01644831071,-0.01700376016,-0.01757713447,-0.01811435549,-0.01859749402,-0.01895956078
"MYS",-0.04481720906,-0.04672672798,-0.04858223335,-0.05022541858,-0.05169406244,-0.05302988626
"MEX",-0.03191463322,-0.03308383836,-0.03432755028,-0.0356125152,-0.03684889509,-0.03795298946
NA,-0.04774452699,-0.04987179655,-0.05197860178,-0.05413201529,-0.05622835619,-0.0580963946
"NLD",-0.01412042385,-0.01472834097,-0.01535093275,-0.01587299836,-0.01626291842,-0.01653616552
"NZL",-0.01537103513,-0.01600310434,-0.01661936385,-0.017137067,-0.01754808662,-0.01787883698
"NOR",-0.01431741337,-0.01494099758,-0.01561254549,-0.01620309662,-0.0167196594,-0.0171523747
"POL",-0.01395605995,-0.01445476744,-0.01497739218,-0.0154990241,-0.01593958288,-0.01624505084
"PRT",-0.02421051633,-0.02526511653,-0.02629178503,-0.02725352475,-0.02816849591,-0.02898149846
"ROU",-0.01982039605,-0.02071060707,-0.0216163921,-0.02263452009,-0.02357068362,-0.02437821093
"RUS",-0.0225804368,-0.02355789672,-0.02455399822,-0.0255962462,-0.0266448827,-0.02761728693
"SGP",-0.03684123686,-0.03860248003,-0.04036191306,-0.04205722292,-0.04366928791,-0.04517369743
"SVK",-0.01487331263,-0.01547503436,-0.01618572242,-0.01695196768,-0.01761412142,-0.01810738432
"SVN",-0.01399356531,-0.01446983865,-0.01494467567,-0.01543037122,-0.01588167899,-0.01625500453
"ZAF",-0.02610348399,-0.02738822598,-0.02860991906,-0.02970235824,-0.0307298279,-0.03176549012
"KOR",-0.02090776361,-0.02138613279,-0.02205106538,-0.02272154105,-0.02335289591,-0.02390429235
"ESP",-0.02417428317,-0.0252416372,-0.02640084852,-0.02739498794,-0.02827466062,-0.02900006393
"SWE",-0.01522013335,-0.01581028542,-0.01640349337,-0.01694582121,-0.01740027611,-0.01775812647
"CHE",-0.01251965237,-0.01303272103,-0.01349620801,-0.01387940477,-0.01418700717,-0.01447055952
"TWN",-0.02764073,-0.02874402831,-0.03000113197,-0.03107422346,-0.03197993384,-0.03278677417
"TUR",-0.02078052849,-0.02163898101,-0.02248400004,-0.02343549377,-0.02437102209,-0.02530217428
"GBR",-0.01241394995,-0.01291567099,-0.01344072788,-0.01387779534,-0.01419296069,-0.01442591155
"USA",-0.03161082443,-0.03277451684,-0.03388428728,-0.03498352051,-0.03608037369,-0.03702579514
"VNM",-0.0436774009,-0.04596205651,-0.04826820411,-0.05037037162,-0.05239303713,-0.05443832366
