"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1236746189,-0.1319547754,-0.1385639619,-0.1438758639,-0.148518276,-0.1528458762
"ARG",-0.01697947368,-0.01739493993,-0.01759435198,-0.01760591696,-0.01751379551,-0.01727795092
NA,-0.01930609101,-0.01967251623,-0.01992891345,-0.01963583507,-0.01898675967,-0.01818482461
"AUS",-0.02863039211,-0.02919952855,-0.02995725953,-0.03040001568,-0.03062517997,-0.030822334
"AUT",-0.03937076723,-0.03893579495,-0.03834014589,-0.03729711477,-0.03587853043,-0.03426493847
"BEL",0.00332469948,0.00432750892,0.00551404829,0.00739551199,0.00936070904,0.01106657443
"BRA",-0.0477349377,-0.04991281416,-0.05159383763,-0.05278745915,-0.05379829985,-0.05473289032
"BGR",-0.00457570931,-0.00460781442,-0.00477966494,-0.0045860281,-0.0047118775,-0.00518804659
"CAN",-0.02326765109,-0.02491599877,-0.02659187112,-0.02812001212,-0.0298167746,-0.03183871442
"CHL",0.01957796524,0.02124536554,0.02260911521,0.02400013154,0.02519381374,0.02615329462
"CHN",-0.02962940564,-0.03250823556,-0.03586583497,-0.03844075792,-0.03997183846,-0.04036667722
"HRV",-0.03930166981,-0.04171335238,-0.04299504013,-0.04264004013,-0.04149582237,-0.04000362222
"CZE",0.00558285007,0.00611772432,0.00605139527,0.0060892666,0.00609200206,0.0058707976
"DNK",-0.01223559026,-0.01207050447,-0.0122279242,-0.01206870496,-0.01180787424,-0.01176678798
NA,-0.00612450789,-0.00539212217,-0.00473200261,-0.00347296342,-0.00187928335,-0.0002449579
"EGY",-0.04580473967,-0.04775893324,-0.04958309357,-0.05107133375,-0.0521564021,-0.05296399398
"EST",-0.00977860742,-0.01037344476,-0.01124969558,-0.01218807805,-0.0135387736,-0.01545138635
"FIN",-0.01031035557,-0.01056682167,-0.01075735245,-0.01041375328,-0.00986128951,-0.00946172874
"FRA",-0.01255871085,-0.01257141065,-0.01249548954,-0.01205236285,-0.01148950184,-0.01093370465
"DEU",-0.01295488257,-0.01279076581,-0.01252794482,-0.01215230689,-0.01178291593,-0.01155680908
"GRC",-0.02243484785,-0.02117232746,-0.0197187806,-0.01744943995,-0.01479735433,-0.01212026304
"HKG",-0.02435630309,-0.0270708175,-0.02923992862,-0.03098239217,-0.03274205126,-0.03452074183
"HUN",0.01808518077,0.01812965634,0.01785032355,0.01813979305,0.01851304011,0.01875910142
"IND",-0.03608286879,-0.03605833231,-0.03612938493,-0.03599759835,-0.03569329308,-0.03527770054
"IDN",-0.00568787308,-0.00458979875,-0.00356308369,-0.00212714613,-0.0004984193,0.00124079719
"IRL",-0.01727947081,-0.0168876845,-0.01685798092,-0.01727949345,-0.01784258274,-0.01816715131
"ITA",-0.00925628841,-0.00788058296,-0.00750895716,-0.00788636001,-0.0086782699,-0.00966762212
"JPN",-0.01368575942,-0.01339537228,-0.01229439948,-0.0095855552,-0.00626301833,-0.00291298814
NA,-0.03391678069,-0.03580475681,-0.03754656364,-0.03892188525,-0.04002087174,-0.04096329053
"LVA",-0.00945397482,-0.00922313968,-0.00890328888,-0.00828838887,-0.00763624811,-0.00712869214
"LTU",-0.0102004519,-0.01011030594,-0.01010446199,-0.01005440196,-0.01037534405,-0.01106664042
"MYS",-0.02568173149,-0.02471527619,-0.02444081849,-0.02443346537,-0.02414087517,-0.02344591733
"MEX",-0.02446439462,-0.02359913711,-0.02257960041,-0.02134415069,-0.01997824305,-0.01852021381
NA,-0.08861304194,-0.09440822581,-0.09942865036,-0.103457545,-0.1069048849,-0.1102025512
"NLD",0.0023182176,0.00257212695,0.00252955393,0.00280102449,0.00274352329,0.00202421646
"NZL",-0.00011013719,0.00204751136,0.00392763118,0.0058490019,0.007578487,0.00908537545
"NOR",-0.01977495138,-0.01952637753,-0.01910312484,-0.01870763875,-0.01830597278,-0.01778937181
"POL",0.00041633329,0.00045125071,-1.259958e-05,0.00010005282,0.00053318493,0.00094334396
"PRT",-0.00930541848,-0.0083388695,-0.00731337448,-0.00572623508,-0.00381351532,-0.0017633714
"ROU",-0.03118149905,-0.03261260253,-0.03324889778,-0.03328463733,-0.03354148782,-0.03396757111
"RUS",-0.1024466242,-0.1098384384,-0.1158915087,-0.1213066539,-0.1266145235,-0.1321283905
"SGP",-0.01272510294,-0.01942174342,-0.02471827509,-0.02751705222,-0.03019434866,-0.03334865101
"SVK",-0.0025274751,-0.00172758878,-0.00122481518,-0.00093621217,-0.00149454341,-0.00279984601
"SVN",-0.00033981185,0.00038984556,-5.891333e-05,-0.00041691487,-0.00048844354,-0.00052695669
"ZAF",-0.00623700268,-0.00681197286,-0.00794121305,-0.00910138602,-0.01040039992,-0.01186845836
"KOR",0.00312917665,0.00413336138,0.00479353518,0.00542555548,0.00592912971,0.00625982157
"ESP",-0.02394147535,-0.02382296365,-0.02399050667,-0.02396887168,-0.02373728461,-0.02344427256
"SWE",-0.01784299717,-0.01746434733,-0.0173841339,-0.01731492221,-0.01714990184,-0.01702367119
"CHE",0.01788483575,0.0214758993,0.02346194634,0.02494846374,0.02663857491,0.02833995058
"TWN",0.0023613556,0.00396428761,0.00519628865,0.00630463455,0.007421203,0.00856249567
"TUR",-0.02384955395,-0.02490224654,-0.02593261321,-0.02657963499,-0.02696200261,-0.02713822356
"GBR",-0.0024675282,-0.0021629914,-0.00205920611,-0.00164887213,-0.00119111595,-0.00089048282
"USA",-0.02980858589,-0.02880797752,-0.02749050854,-0.0258583314,-0.02422961486,-0.02272481273
"VNM",-0.04433578341,-0.04636941823,-0.04705307921,-0.04669559651,-0.04608312036,-0.04544614802
