"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.09772957543,-0.1035668018,-0.1090279647,-0.1140326705,-0.1184759772,-0.1224224628
"ARG",-0.01900102515,-0.01956484699,-0.01987908596,-0.02010123465,-0.01994461483,-0.0193323864
NA,-0.02536249943,-0.02580785588,-0.02631786713,-0.02670628627,-0.02684462469,-0.02661604584
"AUS",-0.0289674595,-0.02964140243,-0.03020029147,-0.03062694886,-0.03087584741,-0.03096190295
"AUT",-0.01855398568,-0.01832940247,-0.01802647695,-0.01780383476,-0.01764256957,-0.01741396355
"BEL",-0.00247430045,-0.00223026715,-0.00193432851,-0.00155076275,-0.00111269322,-0.00051947945
"BRA",-0.04323516867,-0.04518216549,-0.04711632905,-0.04871566494,-0.04975899603,-0.05041458053
"BGR",-0.01341182882,-0.01311619571,-0.0127445752,-0.01242351394,-0.01208257346,-0.01163084557
"CAN",-0.01806361526,-0.01881652769,-0.01949121632,-0.02008622468,-0.02063378753,-0.02104069661
"CHL",0.00844452956,0.00945213595,0.01062574302,0.0119719899,0.01356777484,0.01545199187
"CHN",-0.0280734424,-0.02822802227,-0.02829162026,-0.02822525277,-0.02803087681,-0.02778597047
"HRV",-0.01514373235,-0.01422349495,-0.0131842597,-0.01222141622,-0.01125261078,-0.01007221109
"CZE",-0.0022387818,-0.00191085761,-0.00146617059,-0.00100868664,-0.00053696775,4.155842e-05
"DNK",-0.0106236871,-0.01079045616,-0.01088505713,-0.01080099273,-0.01061260051,-0.01026847842
NA,-0.00930473683,-0.00871470128,-0.00805719425,-0.0073797782,-0.00665998583,-0.00580235383
"EGY",-0.04397117907,-0.04561158893,-0.04722677408,-0.04875461122,-0.04999353994,-0.05091653455
"EST",-0.01632407469,-0.01654009548,-0.01690682617,-0.01748806576,-0.0184408014,-0.01976217063
"FIN",-0.01034040955,-0.01030470565,-0.01020513628,-0.00999020352,-0.00972194957,-0.00926038456
"FRA",-0.01388293047,-0.01422073396,-0.01453736618,-0.01485420657,-0.0151545101,-0.01532098476
"DEU",-0.01232173668,-0.01263288513,-0.01292132345,-0.01323421336,-0.01359504113,-0.01388324258
"GRC",-0.02527993963,-0.02473257257,-0.02409938807,-0.02358662069,-0.023103657,-0.02243634664
"HKG",-0.02973437774,-0.03118321298,-0.03256354221,-0.03393484827,-0.03536060562,-0.03644193032
"HUN",0.0023851676,0.00288468424,0.0035941724,0.0043489575,0.00518252526,0.00623815546
"IND",-0.03715245607,-0.03791988185,-0.0388144627,-0.03949306954,-0.03963515657,-0.03918203341
"IDN",-0.01383503579,-0.01329419993,-0.01284039033,-0.01228693915,-0.01141779073,-0.010075054
"IRL",-0.00932181037,-0.00960675241,-0.00993472156,-0.01019977153,-0.0103805164,-0.01048507787
"ITA",-0.01388079543,-0.01364574067,-0.01349094082,-0.0135355556,-0.0135626862,-0.01332035792
"JPN",-0.0234615237,-0.02383516703,-0.02381720686,-0.02358377495,-0.02315211535,-0.02244258643
NA,-0.03279321816,-0.03420214344,-0.03558002416,-0.03681119606,-0.03785308468,-0.03868959041
"LVA",-0.01106017313,-0.01105018202,-0.01095516457,-0.01072502506,-0.01042437045,-0.01000334329
"LTU",-0.01663500865,-0.01674065803,-0.0166099233,-0.01629412575,-0.01590179124,-0.01539726779
"MYS",-0.0240064629,-0.02421607554,-0.02448433753,-0.02465653605,-0.02463943237,-0.02433011741
"MEX",-0.02261733451,-0.02262609213,-0.02256685896,-0.022351558,-0.02192912146,-0.02123965943
NA,-0.07376204799,-0.07767941544,-0.08155965482,-0.08523490355,-0.08859009013,-0.09168333745
"NLD",-0.00391021768,-0.0038428451,-0.00369215428,-0.00342011228,-0.00306061873,-0.00248765055
"NZL",0.0017644119,0.00265710492,0.0036001072,0.00461273836,0.00575527531,0.00709640083
"NOR",-0.01397560723,-0.01434829502,-0.01476172994,-0.0150065858,-0.01517833351,-0.01521536672
"POL",-0.00024324738,0.0002475275,0.00084873488,0.00153386464,0.00230450267,0.00323728606
"PRT",-0.01803605986,-0.0183871994,-0.01873492336,-0.01926012859,-0.01984993194,-0.02018962865
"ROU",-0.02694042489,-0.02834454206,-0.02965813685,-0.03097497712,-0.03225444383,-0.03342564228
"RUS",-0.08224633964,-0.08723408731,-0.09191348454,-0.09649407668,-0.1009433823,-0.1051352315
"SGP",-0.01989770641,-0.02136824625,-0.02290281849,-0.02439597446,-0.02577814997,-0.02689677073
"SVK",-0.00973984736,-0.00969516187,-0.00950980476,-0.00924553514,-0.00892506728,-0.00844414393
"SVN",-0.00691104343,-0.00674300748,-0.00647017368,-0.0062889786,-0.00610046081,-0.00575728583
"ZAF",-0.02107473115,-0.02235098282,-0.02337396571,-0.02415880498,-0.02472470367,-0.02497513326
"KOR",-0.00620360993,-0.0056254079,-0.00496645156,-0.00425743203,-0.0034391603,-0.00244861702
"ESP",-0.02406275042,-0.02467053811,-0.02520123355,-0.02586993272,-0.02638786283,-0.02638085791
"SWE",-0.01323386158,-0.01345490299,-0.0136517499,-0.01376294097,-0.01381492707,-0.01370252111
"CHE",0.00866327308,0.01016206501,0.01169642778,0.0132182676,0.01481155436,0.01659757562
"TWN",-0.01219668917,-0.01176415421,-0.01122827133,-0.01069657405,-0.01007901095,-0.00909006129
"TUR",-0.02457875555,-0.02542069874,-0.0262200478,-0.02693456583,-0.02741616422,-0.02754838653
"GBR",-0.00579272325,-0.00543011283,-0.00510977653,-0.00477151899,-0.0044036633,-0.00395515371
"USA",-0.03105518382,-0.03156220983,-0.03185492574,-0.03202548036,-0.03212187791,-0.03197072115
"VNM",-0.0373155247,-0.03868307769,-0.03994293977,-0.0410027733,-0.04193833236,-0.04259764875
