"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1133890313,-0.120191689,-0.1261310816,-0.1312916938,-0.1357413529,-0.1396581551
"ARG",-0.02509317093,-0.02612660864,-0.02697672576,-0.02776132608,-0.02819263731,-0.02825788962
NA,-0.03204302981,-0.03252760556,-0.03311478042,-0.03358316714,-0.03383958599,-0.03379181359
"AUS",-0.03215104815,-0.03286142754,-0.03361135539,-0.03429697652,-0.03482475009,-0.03519124662
"AUT",-0.02779367189,-0.0279342666,-0.02792010042,-0.02786221464,-0.02773885591,-0.02742795128
"BEL",-0.0121699402,-0.01271405486,-0.0132316824,-0.01356261665,-0.01374320098,-0.0136858954
"BRA",-0.05173335879,-0.05391686493,-0.05615591056,-0.05810891191,-0.05952349104,-0.06056951111
"BGR",-0.02122256633,-0.02092639521,-0.0203871746,-0.01977968004,-0.01911304149,-0.01832233145
"CAN",-0.04076048812,-0.04250548433,-0.04405384483,-0.04544169267,-0.0467159394,-0.04777552923
"CHL",0.00444567669,0.00501610296,0.00550383085,0.00613945125,0.00704499714,0.00820720039
"CHN",-0.03336376744,-0.03348480346,-0.03352715525,-0.03345632717,-0.03331605362,-0.03321987889
"HRV",-0.0307154255,-0.02975444083,-0.02820588153,-0.02641665737,-0.02446738061,-0.02225820413
"CZE",-0.00887765559,-0.00850104393,-0.00809169961,-0.00766742159,-0.00720714787,-0.00660383264
"DNK",-0.01603519598,-0.01639508103,-0.01674216449,-0.01693217208,-0.01702923722,-0.01699345324
NA,-0.01754377948,-0.01623964267,-0.01498308479,-0.01376202184,-0.01255432833,-0.01124860449
"EGY",-0.05309142307,-0.05501522529,-0.0568092063,-0.05838329148,-0.05962251661,-0.06053980898
"EST",-0.02398136525,-0.02381132017,-0.02359838066,-0.02345447425,-0.02360207909,-0.02407692555
"FIN",-0.01873031161,-0.01926796403,-0.01974485381,-0.02000793662,-0.02012105283,-0.01996127644
"FRA",-0.02183285984,-0.02282243712,-0.0238209015,-0.02478062402,-0.02568256758,-0.02640622463
"DEU",-0.02465335732,-0.02574498251,-0.02673313847,-0.02762081482,-0.02843221879,-0.02903109541
"GRC",-0.04912214451,-0.05121752798,-0.05294355814,-0.05432494434,-0.05525721532,-0.05552271859
"HKG",-0.03209824526,-0.03384268779,-0.0355131935,-0.03710558369,-0.03873312423,-0.0399852423
"HUN",-0.00427950761,-0.00382797423,-0.00330125591,-0.00268119809,-0.00193182243,-0.0009090138
"IND",-0.04323930172,-0.04454187406,-0.04614355036,-0.04767113087,-0.04883045151,-0.04961872474
"IDN",-0.02063762491,-0.02020703785,-0.02003505183,-0.01983059508,-0.01934526542,-0.01841352663
"IRL",-0.01950280644,-0.01995944963,-0.02050106366,-0.02107756354,-0.02164950151,-0.02214955781
"ITA",-0.03366931267,-0.03429387305,-0.03475761606,-0.0352056177,-0.03548059816,-0.03535931942
"JPN",-0.03393063627,-0.03465424548,-0.03520157574,-0.03567619476,-0.03596803146,-0.03591754521
NA,-0.04072973837,-0.04240488219,-0.0442512406,-0.04610665433,-0.04775480616,-0.04906002361
"LVA",-0.01758285001,-0.01755992991,-0.0174124876,-0.01710282528,-0.01671015173,-0.01617841756
"LTU",-0.02268532837,-0.02270581512,-0.02230107377,-0.02165210226,-0.02092481987,-0.02010013397
"MYS",-0.03074371119,-0.03091882181,-0.03094312672,-0.03078453552,-0.03049587731,-0.03003864159
"MEX",-0.03065056819,-0.0310223264,-0.03153874927,-0.03197993048,-0.03224485498,-0.03223003446
NA,-0.09009917764,-0.0945790309,-0.09868683649,-0.1023347231,-0.1055697648,-0.1085764172
"NLD",-0.01144370432,-0.01179157586,-0.01211530984,-0.01223440488,-0.01218714583,-0.01189069049
"NZL",-0.00268932921,-0.00195850741,-0.00125827116,-0.00057344654,0.00019638075,0.00115149366
