"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.1097890871,-0.1166308381,-0.1234780972,-0.1299199458,-0.1358023056,-0.1411409354
"ARG",-0.04190335498,-0.04355409519,-0.04459948658,-0.04491005904,-0.0448772149,-0.04476816215
NA,-0.06215492236,-0.06374410843,-0.06526308774,-0.06661571042,-0.06779447971,-0.0687487091
"AUS",-0.04207071032,-0.04368339595,-0.04492076488,-0.04603576933,-0.04701827059,-0.04783413462
"AUT",-0.03159581388,-0.03241803594,-0.03304044236,-0.03345051097,-0.03367448605,-0.03375693023
"BEL",-0.0211506449,-0.02217299049,-0.02292681093,-0.02349551806,-0.02383135657,-0.02381008464
"BRA",-0.06508127662,-0.06845739975,-0.07180907149,-0.07503961304,-0.07803132854,-0.08058240056
"BGR",-0.03183106291,-0.03261773611,-0.03365359424,-0.03448967341,-0.03497140365,-0.03518480814
"CAN",-0.03650658519,-0.03846516695,-0.04038259519,-0.04224029227,-0.04401954584,-0.04565850948
"CHL",-0.01727100828,-0.01784752856,-0.01820709857,-0.01800672274,-0.01736219145,-0.01637435045
"CHN",-0.04305257397,-0.04444401945,-0.04534577499,-0.04586096022,-0.04615358082,-0.0463736183
"HRV",-0.0411258637,-0.04135926583,-0.04250783507,-0.04414993048,-0.04580721356,-0.04724681426
"CZE",-0.02062495777,-0.0212076233,-0.02156345393,-0.02168908152,-0.02153836274,-0.0211276851
"DNK",-0.0214980409,-0.02249093789,-0.02314520953,-0.02348818206,-0.02357727469,-0.02337943363
NA,-0.03005096848,-0.03097104064,-0.0317225435,-0.03221566676,-0.03232883848,-0.03207059667
"EGY",-0.06634514742,-0.06943456671,-0.07309419473,-0.07686982683,-0.08026112699,-0.08318933742
"EST",-0.02790707899,-0.02929041388,-0.03084807654,-0.03227972318,-0.03357440646,-0.03481217955
"FIN",-0.02540404096,-0.02641430566,-0.02715870941,-0.0276284905,-0.02778793962,-0.0276023
"FRA",-0.02939789519,-0.03095038242,-0.03229264855,-0.03344948027,-0.0343882679,-0.0350161932
"DEU",-0.03026780188,-0.03171931221,-0.03306059899,-0.03423150881,-0.03514580286,-0.03574261022
"GRC",-0.05886768433,-0.06181516881,-0.06436456159,-0.06635870628,-0.06774924011,-0.06866792076
"HKG",-0.05791225945,-0.0599525717,-0.06186749443,-0.06362211729,-0.06520640187,-0.06654143265
"HUN",-0.02257604734,-0.02286974409,-0.02275646118,-0.0223785205,-0.02169055167,-0.02068782557
"IND",-0.07440605407,-0.07723706592,-0.07979608021,-0.08180776851,-0.08316823332,-0.08414146451
"IDN",-0.05300639541,-0.0539609186,-0.054596787,-0.05490517423,-0.05494587066,-0.05460844075
"IRL",-0.01735765497,-0.01834562525,-0.01916734682,-0.01978688614,-0.02023704788,-0.02054838914
"ITA",-0.04294380254,-0.04457937283,-0.04607999473,-0.04724907563,-0.04803135577,-0.04841956731
"JPN",-0.04139624074,-0.04302157359,-0.04447013332,-0.04579447768,-0.04683663671,-0.04757310366
NA,-0.05094856172,-0.05326277518,-0.05594571761,-0.05882307764,-0.06145928715,-0.0635454348
"LVA",-0.02481349977,-0.025563485,-0.0265020153,-0.02722835704,-0.02763792207,-0.02774606004
"LTU",-0.02811294652,-0.02908486836,-0.03053879321,-0.0317445232,-0.03248790146,-0.03277053743
"MYS",-0.06053524143,-0.06275351646,-0.06447805986,-0.06566534585,-0.06651676095,-0.06710650993
"MEX",-0.04897420225,-0.05120309773,-0.05376865906,-0.05625791713,-0.05836297064,-0.0599258999
NA,-0.08912804316,-0.09427708634,-0.100167551,-0.1064979265,-0.1126128784,-0.1180810917
"NLD",-0.02128224501,-0.02221953289,-0.02280557941,-0.02316791903,-0.02327251022,-0.02296626439
"NZL",-0.01699246051,-0.01733822638,-0.01738372632,-0.01701394734,-0.01630977473,-0.01538397216
"NOR",-0.02154677981,-0.02235187725,-0.02316032475,-0.02367294246,-0.0239862924,-0.02409416319
"POL",-0.02145494583,-0.021724005,-0.02173083018,-0.02158673448,-0.02124255915,-0.02068853073
"PRT",-0.04275507441,-0.04486584764,-0.04646224566,-0.04764699654,-0.04852709669,-0.04914651472
"ROU",-0.03963493497,-0.04203167765,-0.04452192745,-0.04694923612,-0.04915244502,-0.05109564157
"RUS",-0.0687946601,-0.0744209757,-0.07990081731,-0.08518426719,-0.09016247447,-0.09481902676
"SGP",-0.05521638413,-0.05611180046,-0.05663090613,-0.05757904995,-0.05878325882,-0.05987120461
"SVK",-0.02314738262,-0.02411937922,-0.02526687833,-0.02622050433,-0.02675652142,-0.02681726798
"SVN",-0.02278445214,-0.02369082036,-0.02458123453,-0.02515985811,-0.02544397429,-0.02552569347
"ZAF",-0.05302313891,-0.05508505893,-0.05689100624,-0.05842502172,-0.0595816572,-0.06028824342
"KOR",-0.02716202347,-0.02811273933,-0.02853377082,-0.0285484578,-0.02822749714,-0.02764367087
"ESP",-0.0447182056,-0.0469322663,-0.04872005045,-0.04989534067,-0.05068100396,-0.05111325924
"SWE",-0.02250154276,-0.02379563671,-0.02494560777,-0.02586178056,-0.02647602617,-0.02675842048
"CHE",-0.01418781558,-0.01438933314,-0.01420183562,-0.0135816639,-0.01260972963,-0.01133279339
"TWN",-0.04153260814,-0.04257719893,-0.04331796087,-0.04363528903,-0.04360715144,-0.04334124756
"TUR",-0.03999088605,-0.04193942823,-0.04357705571,-0.04476556567,-0.04557139954,-0.04623335204
"GBR",-0.01999517026,-0.02045479021,-0.02092634238,-0.0214284528,-0.02187169037,-0.02209696395
"USA",-0.04712966781,-0.04963659905,-0.05207866671,-0.05434839726,-0.05647969831,-0.05842946505
"VNM",-0.06517707838,-0.06765638369,-0.07026332862,-0.07270382715,-0.07501669249,-0.07718477191
