"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.06671026778,-0.07007088227,-0.07350835445,-0.07697017257,-0.08018539308,-0.08302271847
"ARG",-0.02509749543,-0.02566046513,-0.02623276351,-0.02690205351,-0.0274809303,-0.0279301804
NA,-0.03526939206,-0.03636529587,-0.03760687209,-0.0387260794,-0.03954068811,-0.04019247678
"AUS",-0.02660987417,-0.02776953993,-0.02877936474,-0.02972196907,-0.03055982333,-0.031294848
"AUT",-0.02476825063,-0.02503049104,-0.02530938103,-0.02557685081,-0.02572317787,-0.02571585978
"BEL",-0.01670461355,-0.0173416091,-0.01795104544,-0.01843238346,-0.01870429024,-0.01877049821
"BRA",-0.03870122353,-0.04034820952,-0.04197970591,-0.04353945882,-0.04483260918,-0.04591079808
"BGR",-0.01897747018,-0.0191019217,-0.01921118238,-0.01946983771,-0.01963632914,-0.01969843817
"CAN",-0.02741136482,-0.02850535262,-0.02957417466,-0.03059825243,-0.03151579283,-0.03228995028
"CHL",-0.00477157959,-0.0044424113,-0.00411893005,-0.00378091894,-0.00327914269,-0.00266692791
"CHN",-0.02527051805,-0.02618752468,-0.02715657062,-0.02810045652,-0.02892007559,-0.02953378398
"HRV",-0.02994275643,-0.02917042463,-0.0282956541,-0.02742869849,-0.02646863034,-0.02538547791
"CZE",-0.01231953451,-0.01252476083,-0.01276075548,-0.0129927829,-0.01310094996,-0.01304357235
"DNK",-0.01655642707,-0.01700964939,-0.01746781601,-0.01785414197,-0.01809695758,-0.01815168197
NA,-0.01383359482,-0.0140206278,-0.01423375138,-0.01448714714,-0.01463415835,-0.01462780727
"EGY",-0.03796097376,-0.03925830677,-0.04056449557,-0.04199908892,-0.04328544914,-0.04441388418
"EST",-0.02096271335,-0.02141424932,-0.02199905085,-0.02280344,-0.0238605146,-0.02522570963
"FIN",-0.01912747664,-0.01965112434,-0.02013876872,-0.02056079549,-0.02084040654,-0.02092077708
"FRA",-0.02168709751,-0.02256549708,-0.02341143024,-0.02415371962,-0.0246974693,-0.02506407025
"DEU",-0.02271279278,-0.02357592847,-0.02445384749,-0.02524559987,-0.02584090006,-0.026235608
"GRC",-0.0408490485,-0.04183553751,-0.04280240554,-0.04383052249,-0.04466267817,-0.04536047498
"HKG",-0.03342237726,-0.03489718503,-0.0365991082,-0.03829157086,-0.03971891812,-0.04086611702
"HUN",-0.01156772044,-0.01164610266,-0.01181740825,-0.01207963945,-0.01218576842,-0.01202945837
"IND",-0.04332851076,-0.0449206036,-0.04658095976,-0.04818843449,-0.04944348805,-0.05030062797
"IDN",-0.03047412742,-0.03081437651,-0.03123283433,-0.03164145175,-0.03187664371,-0.03185002725
"IRL",-0.01569786122,-0.01616559625,-0.01665057186,-0.01705606506,-0.01733786429,-0.01750295255
"ITA",-0.02914406149,-0.02994563943,-0.03070509961,-0.03138457515,-0.03183566055,-0.03207956892
"JPN",-0.02332595494,-0.02414293019,-0.02504700956,-0.02594093833,-0.02669086934,-0.0272344061
NA,-0.02985703402,-0.03107415961,-0.03231186466,-0.03353688694,-0.03463424742,-0.03558781773
"LVA",-0.01626941904,-0.0165419503,-0.01676062268,-0.0169224165,-0.01697502048,-0.01686279421
"LTU",-0.01989323935,-0.0200318944,-0.02006277308,-0.02006992133,-0.01999525588,-0.01975634331
"MYS",-0.03323867736,-0.03433188357,-0.03553963079,-0.03667613825,-0.03754395224,-0.0381312996
"MEX",-0.0286920265,-0.02928727299,-0.02997423453,-0.03072838521,-0.0313245819,-0.03167335199
NA,-0.05533157758,-0.05794096585,-0.06061933241,-0.06338971789,-0.06593966812,-0.06809004083
"NLD",-0.01553171235,-0.01594761251,-0.01633949315,-0.01661879976,-0.01670712913,-0.01660570651
"NZL",-0.00860097985,-0.00865666756,-0.0086900625,-0.00862442936,-0.00838409757,-0.00797613225
"NOR",-0.01516763708,-0.0154228825,-0.01573327289,-0.01594721171,-0.01604728289,-0.01600689922
"POL",-0.01248283968,-0.01284295308,-0.01330510232,-0.0138279991,-0.01425443824,-0.01449302071
"PRT",-0.02973478928,-0.03096445598,-0.03219755088,-0.03340153733,-0.03449456671,-0.03540246757
"ROU",-0.02722421399,-0.02872160435,-0.03032053485,-0.03209697558,-0.03378832394,-0.03538392077
"RUS",-0.0428270456,-0.04543424562,-0.04799322864,-0.05055643921,-0.05303505603,-0.05533155964
"SGP",-0.03094261357,-0.03233349257,-0.03383268445,-0.03534358088,-0.03666808473,-0.03776724723
"SVK",-0.01645270824,-0.01631243961,-0.01618533934,-0.01613991086,-0.01603545965,-0.01580653458
"SVN",-0.01351060612,-0.01361272857,-0.013702429,-0.01382217142,-0.01386943057,-0.01378382967
"ZAF",-0.03013242336,-0.03137545568,-0.03258618307,-0.03369960257,-0.03463904663,-0.03546662085
"KOR",-0.01228294307,-0.01242690179,-0.01267760925,-0.01291452339,-0.01302225768,-0.0129645215
"ESP",-0.03061017193,-0.03187675623,-0.0329701582,-0.03394908718,-0.03472297505,-0.03529685488
"SWE",-0.01776244628,-0.01830245579,-0.01887837807,-0.0194071997,-0.0197988165,-0.02001035162
"CHE",-0.00783793988,-0.0077017408,-0.00753075885,-0.00728805199,-0.00691545506,-0.00643492835
"TWN",-0.02048106163,-0.02090634122,-0.0215368872,-0.02204381441,-0.02228971185,-0.02232531208
