"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.07348930611,-0.07758202685,-0.08157205985,-0.08539879891,-0.08889533369,-0.09206384568
"ARG",-0.01787503713,-0.01834538857,-0.01854759512,-0.01870769099,-0.01859046566,-0.01809572475
NA,-0.02540085492,-0.0256712513,-0.02602161052,-0.02641245536,-0.02662230287,-0.02642887732
"AUS",-0.03653564654,-0.03696113216,-0.03722986102,-0.03741883477,-0.03748509906,-0.03743500774
"AUT",-0.01476188105,-0.01479684491,-0.01475067662,-0.01478603327,-0.01484434512,-0.01479867205
"BEL",-0.0057902867,-0.00575327875,-0.00567030419,-0.00557688219,-0.00548777784,-0.00527580541
"BRA",-0.03369031133,-0.0349036762,-0.03619865532,-0.03729107966,-0.03800046058,-0.03845765915
"BGR",-0.0101069038,-0.00991551694,-0.009687644,-0.00951806871,-0.00931048233,-0.00901217558
"CAN",-0.02524323443,-0.02631493308,-0.02730194787,-0.02821915432,-0.02906311032,-0.02976763663
"CHL",0.00376446015,0.00454304526,0.00551374212,0.00660805369,0.0078797656,0.0093809939
"CHN",-0.02755277477,-0.02775182697,-0.02782714653,-0.0277889358,-0.02761530467,-0.02733192604
"HRV",-0.01260797457,-0.01218734777,-0.01151883251,-0.01085442981,-0.01012190374,-0.009182896
"CZE",-0.00397076616,-0.00387718617,-0.00370167007,-0.00355496747,-0.00340220004,-0.00315378186
"DNK",-0.01002670646,-0.01003012102,-0.00999057158,-0.00990555975,-0.00978784688,-0.00954026162
NA,-0.00531807041,-0.00449109637,-0.003725227,-0.00312892811,-0.00263220892,-0.00213002611
"EGY",-0.03832417214,-0.03945143695,-0.04056738063,-0.04165993358,-0.04252682556,-0.04318316987
"EST",-0.01085035746,-0.01090644977,-0.01105296096,-0.01124326587,-0.01150801839,-0.01184458202
"FIN",-0.01061969228,-0.01066635416,-0.01073090474,-0.0107818876,-0.01081859248,-0.01070353118
"FRA",-0.01303775316,-0.01339991807,-0.01372882084,-0.01407135853,-0.0143908046,-0.01455568137
"DEU",-0.01389242818,-0.01439071062,-0.01478338068,-0.01513332045,-0.01546118733,-0.01565648361
"GRC",-0.02584228386,-0.02581150302,-0.02571065973,-0.0257426457,-0.02578068032,-0.02563789715
"HKG",-0.03074198309,-0.03187345784,-0.03284676732,-0.03386177957,-0.03495234808,-0.03566653008
"HUN",0.00031020634,0.00048259376,0.00085226909,0.00121004402,0.00162730461,0.00223654955
"IND",-0.03732295576,-0.03794139845,-0.03862395049,-0.03916142923,-0.03926135493,-0.03879913584
"IDN",-0.01676121017,-0.01620747044,-0.01563764734,-0.0149610058,-0.01400334293,-0.01266859402
"IRL",-0.01208650996,-0.01217743462,-0.01226337572,-0.01230515281,-0.0123081819,-0.01226336512
"ITA",-0.01181120088,-0.01178106251,-0.01174773342,-0.0119038966,-0.01208086143,-0.01206519138
"JPN",-0.01846892188,-0.01862053805,-0.01861713102,-0.01871674827,-0.01877894155,-0.01863199738
NA,-0.0304084598,-0.03145353535,-0.03247226448,-0.03338495375,-0.0341449553,-0.03472753949
"LVA",-0.00901197984,-0.00888287579,-0.00877069313,-0.008603538,-0.0083907565,-0.00810990957
"LTU",-0.01180398634,-0.0117662035,-0.01174298742,-0.01167704017,-0.01154098178,-0.01129100115
"MYS",-0.02528633674,-0.02551009555,-0.02572898535,-0.02586605448,-0.02582132752,-0.02547622822
"MEX",-0.02103837388,-0.02074383567,-0.02038256588,-0.01994379249,-0.01937064747,-0.01862130135
NA,-0.06084989483,-0.06364013752,-0.0664589523,-0.06918118181,-0.07168366875,-0.07399718242
"NLD",-0.00640066862,-0.00632553388,-0.00616308654,-0.00596873442,-0.00576053726,-0.00540810086
"NZL",-0.00278159779,-0.00204860761,-0.00126322302,-0.00044959456,0.00048620587,0.0016219416
"NOR",-0.01458256538,-0.01476965763,-0.01483324945,-0.01497345754,-0.01509345693,-0.01503415008
"POL",-0.0025108337,-0.00219443673,-0.00179613815,-0.00137899065,-0.00091252101,-0.00033338595
"PRT",-0.01776684129,-0.01807639251,-0.01833902932,-0.0187869999,-0.01928687882,-0.01952588748
"ROU",-0.01851398661,-0.0189345216,-0.01921212836,-0.01955437489,-0.01979356424,-0.01989936019
