"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.09520003912,-0.1013681712,-0.1067604324,-0.1113562226,-0.1152417422,-0.1186482281
"ARG",-0.02520326819,-0.02710440183,-0.02876876421,-0.03037052901,-0.03173392731,-0.03282842041
NA,-0.03515260583,-0.03537297672,-0.03558000552,-0.03585134097,-0.03604358555,-0.03604489582
"AUS",-0.0466167038,-0.04849395397,-0.04919123319,-0.0495836378,-0.04983962421,-0.04998888439
"AUT",-0.03580915377,-0.03591265571,-0.03534114588,-0.03421707323,-0.03265966302,-0.03083490951
"BEL",-0.01500787373,-0.01647115836,-0.01772534487,-0.01878014185,-0.01965487467,-0.02022661308
"BRA",-0.04061082814,-0.04237125531,-0.04409569427,-0.04565024544,-0.0469156809,-0.04801596284
"BGR",-0.02666518878,-0.02532928992,-0.02350102455,-0.02140642274,-0.01925814386,-0.01726904315
"CAN",-0.04656742114,-0.04746316681,-0.04801490338,-0.04840346829,-0.04870280335,-0.04891505505
"CHL",0.00706401263,0.005685315,0.00452262507,0.00354614748,0.00274979657,0.00220072244
"CHN",-0.04357886634,-0.04341102488,-0.04250724529,-0.04121894787,-0.03972046426,-0.0382747182
"HRV",-0.05179846191,-0.04687813651,-0.04079203292,-0.03419056192,-0.02749298187,-0.02104160096
"CZE",-0.0128735283,-0.01310128514,-0.01318640911,-0.01327210808,-0.01338787323,-0.01350043882
"DNK",-0.01878061122,-0.01988878712,-0.02074016732,-0.02137732479,-0.02194879993,-0.02244735055
NA,-0.01934318587,-0.01300983318,-0.00743072015,-0.00305601528,0.00012618939,0.00227643649
"EGY",-0.04684579651,-0.04819578319,-0.04934354927,-0.05033638624,-0.05112505352,-0.0519305112
"EST",-0.02902123915,-0.02707416079,-0.02458764244,-0.02198298184,-0.01968139939,-0.01799532841
"FIN",-0.02359791242,-0.02456844258,-0.02531681166,-0.02588303052,-0.0263157245,-0.02654720792
"FRA",-0.02185599213,-0.02263701977,-0.02343897968,-0.02437829502,-0.02542096631,-0.0264392743
"DEU",-0.02381107423,-0.02595871771,-0.02796104444,-0.02977663241,-0.03132892711,-0.03248006661
"GRC",-0.05759524936,-0.06057624018,-0.06257355776,-0.06378820115,-0.06415713167,-0.06365350865
"HKG",-0.03510076018,-0.03725171854,-0.03851651281,-0.03957870855,-0.04050264107,-0.04098080789
"HUN",-0.00966965684,-0.00992323938,-0.00978291452,-0.00958146068,-0.00937892212,-0.00911978495
"IND",-0.04665876195,-0.04901728966,-0.05163386143,-0.05418273124,-0.05633080789,-0.05806185733
"IDN",-0.01950584204,-0.01909762861,-0.01900586818,-0.0190454289,-0.01898754355,-0.01880064286
"IRL",-0.02983174351,-0.02980976693,-0.02958940188,-0.02922897216,-0.02882293165,-0.02848853649
"ITA",-0.03311430309,-0.03331340003,-0.03364327796,-0.03414197892,-0.03456352134,-0.0347280729
"JPN",-0.03547105407,-0.03499131933,-0.03450309731,-0.03460008249,-0.03504306806,-0.03535621239
NA,-0.03823356876,-0.03960342129,-0.04069035965,-0.04154853481,-0.04229866312,-0.04308282714
"LVA",-0.01719695904,-0.01690065373,-0.01660569458,-0.01624921115,-0.01584390073,-0.01542497169
"LTU",-0.02267234542,-0.02239738605,-0.02166419951,-0.02059382886,-0.0193253971,-0.01801763989
"MYS",-0.03123959856,-0.03165179573,-0.03209274676,-0.03244718374,-0.03258195609,-0.0325474596
"MEX",-0.03123133459,-0.03077638106,-0.03017442947,-0.02950711647,-0.02874342608,-0.02797629124
NA,-0.08042271294,-0.08340908739,-0.08605779329,-0.08842800379,-0.09059124284,-0.09276050482
"NLD",-0.01525988714,-0.01605570013,-0.01674631927,-0.01748307556,-0.01832784655,-0.01910786609
"NZL",-0.01055933743,-0.01017760548,-0.00924328192,-0.00814837827,-0.00703856678,-0.00590433211
"NOR",-0.01968467897,-0.0193566997,-0.01862816824,-0.01836352554,-0.01828601004,-0.01810675753
"POL",-0.01883649579,-0.01889477946,-0.01873416246,-0.01849242743,-0.01824692994,-0.01799358042
"PRT",-0.03998064335,-0.04087987725,-0.0410163233,-0.04085854383,-0.04056115857,-0.04003316998
"ROU",-0.03582247978,-0.03743190323,-0.03870702688,-0.03992663755,-0.04097507538,-0.0418144333
"RUS",-0.08223574735,-0.08565803781,-0.08820028681,-0.09059746997,-0.09294591553,-0.09525141473
"SGP",-0.02784916847,-0.03137178979,-0.03381238687,-0.03608163581,-0.03808532002,-0.03947124581
"SVK",-0.02313273815,-0.02140459074,-0.01900905941,-0.01637316848,-0.01383004614,-0.01161052223
"SVN",-0.01399204717,-0.01311374658,-0.01222600774,-0.01141136188,-0.01067519551,-0.01000744536
"ZAF",-0.05044497879,-0.05457411469,-0.05794083226,-0.06074935082,-0.06317366422,-0.06524418453
"KOR",-0.00711941558,-0.00724922915,-0.00740967157,-0.0076454883,-0.00795948503,-0.00828463829
"ESP",-0.03861510044,-0.03945182059,-0.03980617166,-0.040012077,-0.04001876629,-0.03973551752
"SWE",-0.02358272742,-0.02512628509,-0.0267335235,-0.02828911492,-0.02973691004,-0.03105094519
"CHE",-0.00340393191,-0.00363171719,-0.00414506536,-0.00488904384,-0.00577010824,-0.0066590095
"TWN",-0.00945690965,-0.00864497796,-0.00789600689,-0.00739236634,-0.00708193765,-0.00682965386
"TUR",-0.02929063197,-0.03083661096,-0.03223718256,-0.03348088002,-0.03446548871,-0.03521382804
"GBR",-0.01383278428,-0.01413986551,-0.01451171909,-0.01485516379,-0.01509222202,-0.01514829736
"USA",-0.03815700176,-0.03756910384,-0.03702476016,-0.03671380989,-0.03663188799,-0.03665561967
"VNM",-0.03843674569,-0.04144275291,-0.04374832496,-0.0454022221,-0.04650331803,-0.0470121298
