"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.082052676,-0.08638244629,-0.09064194062,-0.09486029176,-0.09909222183,-0.1031315456
"ARG",-0.04040861954,-0.04218610439,-0.04366687134,-0.04490098296,-0.04619935887,-0.04755577721
NA,-0.06074720759,-0.06283082307,-0.06471974643,-0.06652064451,-0.06840546122,-0.07019300253
"AUS",-0.04518318461,-0.04712182058,-0.04859455892,-0.04992247164,-0.05117600193,-0.05233609283
"AUT",-0.02768926051,-0.02815455993,-0.02861664173,-0.02915109531,-0.02973755866,-0.03030784526
"BEL",-0.02027824126,-0.02144732178,-0.02252852528,-0.02359996606,-0.02466097663,-0.02556009075
"BRA",-0.05494359627,-0.05751483211,-0.05985782538,-0.06216263647,-0.06455426315,-0.06675301751
"BGR",-0.03234007134,-0.03303343905,-0.0336423041,-0.03407526977,-0.03438618015,-0.03458759977
"CAN",-0.04028204847,-0.04206665403,-0.04361161339,-0.04501793332,-0.04638282666,-0.04763536779
"CHL",-0.01765397365,-0.01802767774,-0.01833724799,-0.01858128216,-0.01888235682,-0.01919519276
"CHN",-0.04287619643,-0.04532486041,-0.04738718281,-0.04913024081,-0.05073649636,-0.05215049582
"HRV",-0.0554199867,-0.05598890099,-0.05601941552,-0.05565324556,-0.05503459321,-0.05420885647
"CZE",-0.02148387531,-0.02229853674,-0.02303004856,-0.0236924114,-0.02427018401,-0.02473577747
"DNK",-0.02033501875,-0.02122476099,-0.02204098845,-0.02282994591,-0.02357449337,-0.02417490581
NA,-0.03258147952,-0.03264881407,-0.03241965675,-0.03182074904,-0.03093468663,-0.02983516079
"EGY",-0.06091636513,-0.0638046025,-0.06655130254,-0.06909983479,-0.0714875879,-0.07375074213
"EST",-0.02594614707,-0.02663318138,-0.02719676362,-0.02765618595,-0.0281458269,-0.02869266685
"FIN",-0.02354307648,-0.02443324046,-0.02521742062,-0.02593350728,-0.0266121717,-0.02718233822
"FRA",-0.02650985266,-0.02795509982,-0.02920548722,-0.03037122355,-0.03150097158,-0.0324602154
"DEU",-0.02448871588,-0.02601228969,-0.02742056487,-0.02875181699,-0.02999759972,-0.0310483735
"GRC",-0.05559736583,-0.05840992505,-0.06083087401,-0.0628589537,-0.06459083276,-0.06602593331
"HKG",-0.0561329691,-0.05891248772,-0.0613966482,-0.06367745573,-0.06599303555,-0.06813145141
"HUN",-0.02499235432,-0.02596668597,-0.02678277688,-0.02748512517,-0.02805278797,-0.02843231308
"IND",-0.07618856474,-0.07946036918,-0.08242083371,-0.08527239067,-0.08814503712,-0.09106912241
"IDN",-0.05078759919,-0.05241209486,-0.0538938623,-0.05529826663,-0.0567748972,-0.05807368634
"IRL",-0.01916271439,-0.01992965854,-0.02057978251,-0.02120486738,-0.0217982942,-0.02223864042
"ITA",-0.03929546804,-0.04061041584,-0.04162454313,-0.04245685198,-0.04322085545,-0.0438204654
"JPN",-0.04300539438,-0.04493758709,-0.04663098827,-0.04813139842,-0.04945161154,-0.05058490667
NA,-0.04796817949,-0.0500293335,-0.0519338402,-0.05376870721,-0.05557629387,-0.05718507311
"LVA",-0.02256928466,-0.02319164294,-0.02381797273,-0.02436493708,-0.02483249682,-0.02515440108
"LTU",-0.02416823109,-0.02497566058,-0.02576770582,-0.02643363056,-0.02696677904,-0.02730212786
"MYS",-0.05491583424,-0.05703733629,-0.05885854776,-0.06056266924,-0.0623140246,-0.06384777975
"MEX",-0.04758188328,-0.0493647384,-0.05099541697,-0.0525736328,-0.05409417731,-0.05532559871
NA,-0.07866938646,-0.08269024247,-0.08651156088,-0.09023297607,-0.09387484775,-0.09725610982
