"Region","X2045","X2046","X2047","X2048","X2049","X2050"
NA,-0.05630161256,-0.05809434843,-0.06017416428,-0.0623141814,-0.06437020435,-0.06615840665
"ARG",-0.02274509522,-0.02325314978,-0.02380824367,-0.0244101138,-0.0249873822,-0.02549239229
NA,-0.03461681156,-0.03565773644,-0.03684296159,-0.03780727797,-0.03850458234,-0.03903022173
"AUS",-0.03965813521,-0.04058211703,-0.04136992002,-0.04209475206,-0.0427678141,-0.04330889235
"AUT",-0.01979595832,-0.02003297589,-0.0203555571,-0.02067750912,-0.02091323302,-0.02101116045
"BEL",-0.0149295875,-0.01551731888,-0.01612545406,-0.01662426732,-0.01697166709,-0.01717218301
"BRA",-0.03411932531,-0.03528414628,-0.03646898145,-0.03752329536,-0.03840658371,-0.03915183154
"BGR",-0.01241299516,-0.01247234722,-0.01268417859,-0.01302849965,-0.01331243992,-0.0135139026
"CAN",-0.02908427859,-0.02918131298,-0.02929864038,-0.02937386702,-0.02940312672,-0.02936200357
"CHL",-0.00293296852,-0.00280594503,-0.0027587022,-0.00272368544,-0.00259974318,-0.00243154249
"CHN",-0.02449976352,-0.02556961821,-0.02664054971,-0.02755329989,-0.02833981211,-0.0289141107
"HRV",-0.02026001798,-0.01961371796,-0.01921778235,-0.01900534855,-0.0188310325,-0.01859236822
"CZE",-0.01031879941,-0.01055134974,-0.01086403313,-0.0111767938,-0.01140999915,-0.01153441138
"DNK",-0.0144782808,-0.01481737348,-0.01518965924,-0.01548587555,-0.01567131717,-0.015726047
NA,-0.01267495094,-0.01298684632,-0.01330675912,-0.01360661199,-0.01380979434,-0.01387841244
"EGY",-0.03441543741,-0.03531424239,-0.03620613097,-0.03711610128,-0.03794014817,-0.03864239182
"EST",-0.01271321104,-0.01307165007,-0.01357947651,-0.01414425589,-0.01475091664,-0.01540957749
"FIN",-0.01575926251,-0.01598100027,-0.01624889082,-0.01649516709,-0.0166809794,-0.01677004177
"FRA",-0.01852530495,-0.01915968304,-0.01976402801,-0.02022613045,-0.02051831505,-0.02066244008
"DEU",-0.01779283933,-0.01836126654,-0.01893745219,-0.01939593964,-0.01969559876,-0.01984615516
"GRC",-0.03375315916,-0.03409472319,-0.03458589839,-0.03523621153,-0.03587187109,-0.0364926191
"HKG",-0.03160040185,-0.0332092548,-0.03496997704,-0.03654724858,-0.0378699407,-0.03888186279
"HUN",-0.00832131565,-0.00851718697,-0.00885317904,-0.00927788102,-0.00960525284,-0.00975856293
"IND",-0.04275097343,-0.04420783206,-0.04574401175,-0.04712212829,-0.04825653984,-0.04907667142
"IDN",-0.0293517694,-0.02993532997,-0.03057562788,-0.03109151108,-0.03149196256,-0.03170030449
"IRL",-0.01648338029,-0.01669364092,-0.01688867594,-0.01696027943,-0.01693474296,-0.01683888629
"ITA",-0.0217348285,-0.0220379283,-0.02239442144,-0.02270571597,-0.02289591013,-0.02295499603
"JPN",-0.02561813781,-0.02636461159,-0.0271699191,-0.02788321854,-0.02847334824,-0.02887744342
NA,-0.03009472588,-0.03102881329,-0.0319851977,-0.0328515344,-0.0336279009,-0.03427992552
"LVA",-0.01184389528,-0.01193953599,-0.01209656493,-0.01221080453,-0.01227042945,-0.01225369317
"LTU",-0.01294296141,-0.01311960531,-0.01339095859,-0.0136580007,-0.01386352574,-0.01394335721
"MYS",-0.03138832523,-0.03244367955,-0.03355935452,-0.03446588,-0.03514622194,-0.03556973171
"MEX",-0.0276145426,-0.02793474908,-0.02835035342,-0.02876095372,-0.02907963523,-0.02920363731
NA,-0.05063758721,-0.05230925389,-0.05405922882,-0.05577990581,-0.05735091982,-0.05857927293
"NLD",-0.01400991638,-0.01431065538,-0.01465577646,-0.01493390216,-0.01509627182,-0.01515678893
"NZL",-0.01041950061,-0.01044421737,-0.01071871571,-0.01093929012,-0.01101271095,-0.01093285483
"NOR",-0.01368456714,-0.01409978538,-0.01457630759,-0.01494709182,-0.015218387,-0.01540507782
"POL",-0.01090192305,-0.01109562903,-0.0113510279,-0.01159459273,-0.01174865282,-0.01177735813
"PRT",-0.02507036476,-0.02578054537,-0.02652228184,-0.02719425909,-0.02779842376,-0.0282494685
"ROU",-0.0231983959,-0.02365310991,-0.02413834082,-0.02469127836,-0.02510608595,-0.02539329357
"RUS",-0.03529921912,-0.03638698456,-0.03755065585,-0.03877264597,-0.03998719462,-0.04110802695
"SGP",-0.03060587915,-0.03233193319,-0.03403811568,-0.03557159321,-0.03690863802,-0.03799425448
